region,taxa_group,taxa,period,"extraction_method: 
Foraging and collection","extraction_method: 
Spears, harpoons (unmechanised)","extraction_method: 
Hand lines, hand nets","extraction_method: 
Other hand held weapons (e.g. axes, clubs, guns)","extraction_method: 
Fixed traps (e.g. coastal fish traps of stone or wood)","extraction_method: 
Portable traps (e.g. lobster pots)
","extraction_method: 
Nets and longlines (unmechanised)","extraction_method: 
Nets, longlines, harpoons (mechanised)","extraction_method: 
Other",extraction_level,sustainable_or_not,drivers_of_change,"extraction_for_ Nonmarket_consumption_(e.g., recreational, subsistence, non-commercial fishing)",extraction_for_ Local_markets,extraction_for_ Regional markets,"extraction_for_ Inter-regional markets (e.g. long distance, transoceanic)",bibliographical_ref
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (small),"19 (Phase 5, Strati A-B)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (large),"12 (Phase 1, Strati G)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (large),"13 (Phase 1, Strati G)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (large),"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Carangidae (large),"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Scaridae,"19 (Phase 5, Strati A-B)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Serranidae (small),"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Sphyraenidae (medium),"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Sphyraenidae (medium),"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Sphyraenidae (medium),"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Sphyraenidae (medium),"18 (Phase 4, Strati C-D)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Demersal fish,Sphyraenidae (medium),"19 (Phase 5, Strati A-B)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"11 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"12 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"13 (Phase 1, Strati G-H)",,,,,,,,,,,,,3,0,0,0,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"14 (Phase 2, Strati E-F)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"15 (Phase 3-4, Strati E-F/C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"16 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
"Hanamiai, Tahuata, Marquesas Islands",Large pelagic fish,Scombridae,"17 (Phase 4, Strati C-D)",,,,,,,,,,,,,,,,,rolett1998
